ward,area_sqm,rooms,floor,building_age,distance_to_station_min,amenity_score,has_balcony,has_parking,is_remodeled,price_million_yen
Arakawa,55.84,2,1,14.8,7.0,80.4,1,0,0,132.56
Koto,45.75,1,4,9.3,3.5,85.4,1,1,0,126.69
Kita,50.64,2,16,2.7,19.3,45.3,1,1,0,81.55
Arakawa,124.94,4,5,0.4,3.8,95.4,1,1,0,173.24
Shibuya,76.56,3,5,50.0,6.5,82.2,1,1,1,158.41
Nakano,22.03,1,13,14.0,2.1,100.0,1,0,0,124.85
Chuo,108.26,4,1,12.0,6.6,85.9,1,1,0,266.52
Itabashi,96.33,5,28,50.0,7.5,93.2,0,1,1,168.88
Chiyoda,55.4,2,19,17.9,12.7,87.9,1,1,1,139.04
Ota,106.18,4,11,1.2,1.1,100.0,0,0,0,166.87
Minato,84.03,3,19,0.6,1.5,97.2,0,0,0,239.56
Nakano,38.94,1,14,6.0,3.1,93.4,1,1,0,115.74
Toshima,66.63,4,17,13.6,30.0,37.8,1,1,0,103.39
Chuo,117.91,4,14,2.4,1.1,100.0,1,0,0,265.15
Taito,21.81,1,5,3.0,6.6,88.8,1,0,0,92.94
Shinjuku,34.2,1,9,10.4,1.0,100.0,1,1,0,175.75
Shinagawa,91.34,4,27,6.6,30.0,37.1,1,0,0,129.16
Shinjuku,51.22,3,30,5.0,1.5,71.9,1,0,0,191.61
Ota,77.12,3,24,19.3,13.8,75.2,1,1,0,119.31
Katsushika,84.84,3,20,10.6,2.2,98.2,0,1,0,136.67
Shinjuku,96.46,4,24,2.2,1.0,81.2,1,0,0,247.97
Kita,36.11,1,15,9.6,4.2,97.3,1,1,0,111.5
Ota,72.6,3,29,2.3,12.7,73.1,0,0,0,148.85
Shinjuku,101.05,4,10,7.5,13.6,52.5,1,0,0,153.62
Suginami,20.0,1,2,11.8,19.0,72.1,1,0,1,62.61
Nerima,104.31,4,29,10.3,10.8,86.6,1,0,0,187.05
Chuo,84.37,3,6,11.5,3.8,95.7,1,1,0,172.42
Shinjuku,159.29,4,2,0.2,7.3,100.0,1,1,0,288.95
Koto,20.0,1,14,14.3,19.4,76.1,0,0,0,54.92
Setagaya,116.94,4,4,23.4,1.0,100.0,1,0,0,212.06
Nakano,40.31,3,14,3.1,14.5,69.7,1,0,0,85.15
Adachi,112.46,4,20,23.3,7.4,83.1,1,1,0,131.17
Chuo,74.84,2,27,2.3,1.6,100.0,1,1,0,251.53
Katsushika,20.0,1,18,16.3,1.6,88.9,1,1,0,89.27
Shibuya,29.12,2,30,3.4,1.7,77.5,0,1,0,228.66
Kita,20.0,1,6,21.7,1.0,92.3,1,0,1,88.6
Chuo,59.14,1,18,30.3,4.2,90.9,1,0,0,190.01
Suginami,74.47,3,19,15.9,2.2,93.2,1,1,1,170.61
Shinjuku,20.0,1,10,1.3,1.9,87.3,0,0,0,154.52
Suginami,64.45,3,11,4.5,3.8,76.8,1,1,0,180.9
Chuo,58.99,3,12,2.3,16.2,72.3,1,1,0,160.15
Nakano,68.29,3,2,15.1,2.4,96.9,1,1,0,148.06
Edogawa,98.51,4,10,12.9,2.6,100.0,1,1,1,194.54
Setagaya,99.48,4,21,2.9,19.7,42.3,1,0,0,133.87
Ota,63.25,4,27,5.3,6.7,98.7,1,1,1,154.33
Shinjuku,91.01,4,19,13.6,1.0,100.0,1,1,0,208.12
Shinagawa,38.62,2,8,8.6,2.3,77.7,1,1,0,165.59
Itabashi,22.89,1,27,37.4,1.2,96.9,0,1,1,90.02
Koto,108.54,4,16,28.4,2.3,100.0,1,0,1,185.71
Edogawa,76.23,3,22,37.1,1.0,87.2,1,1,1,153.35
Arakawa,110.7,4,14,13.6,2.1,68.7,0,0,0,192.41
Setagaya,43.16,2,24,11.6,12.5,85.3,1,1,0,102.05
Edogawa,77.68,2,13,11.3,22.4,55.0,1,1,0,92.56
Adachi,112.28,4,16,31.0,30.0,35.5,1,1,0,103.75
Minato,20.0,2,18,4.0,1.0,95.0,0,1,0,237.16
Setagaya,40.05,3,5,23.2,1.0,100.0,1,1,1,146.94
Sumida,74.99,3,13,1.9,1.0,100.0,1,0,0,175.54
Katsushika,85.25,4,17,11.0,7.3,68.5,1,1,1,170.42
Minato,53.43,2,15,0.5,18.0,70.3,1,1,0,184.31
Minato,20.0,2,12,0.5,3.2,94.9,0,0,0,187.62
Bunkyo,71.37,4,16,17.2,1.0,91.7,1,1,0,227.15
Koto,80.29,3,27,30.0,10.6,89.8,0,0,0,110.19
Shibuya,85.07,3,27,21.0,1.4,100.0,1,1,0,216.39
Ota,74.4,3,7,2.6,13.6,73.0,0,0,0,154.96
Kita,40.26,2,24,25.6,1.1,99.3,0,0,0,88.73
Suginami,103.22,5,29,23.3,1.5,100.0,1,1,0,175.74
Arakawa,81.01,2,11,25.8,3.7,87.3,1,0,0,112.42
Shinjuku,33.25,1,13,28.9,6.0,82.6,1,1,0,126.41
Ota,63.33,4,16,29.2,26.7,35.1,1,1,0,82.51
Chuo,42.12,2,17,15.8,3.7,91.8,1,0,1,193.91
Adachi,65.24,3,7,14.8,1.1,85.9,0,1,0,125.37
Nakano,113.2,4,30,17.4,4.5,90.6,0,1,0,147.38
Koto,56.61,1,18,17.1,4.0,73.0,1,1,0,126.28
Itabashi,84.07,2,17,1.6,6.8,86.3,0,0,0,140.1
Arakawa,76.25,2,13,1.3,13.9,51.7,1,0,1,148.31
Suginami,40.64,2,23,16.6,24.2,68.6,1,0,1,108.33
Koto,96.86,4,27,9.9,8.6,89.1,1,1,0,160.87
Meguro,69.28,3,18,0.9,2.3,85.1,1,1,0,199.69
Arakawa,85.18,3,28,3.3,9.1,61.8,0,0,0,163.67
Nerima,66.68,3,28,7.0,30.0,24.4,1,1,1,138.07
Chuo,87.99,4,26,36.5,1.9,100.0,1,1,1,211.66
Toshima,49.43,2,10,4.1,28.4,46.4,1,0,0,80.18
Suginami,116.27,4,7,2.7,4.0,100.0,1,0,0,242.75
Shinjuku,48.76,3,15,4.0,17.2,46.4,1,1,0,128.3
Bunkyo,89.47,3,22,2.8,1.0,84.1,1,1,0,236.69
Suginami,82.9,4,12,11.6,1.0,85.6,0,0,0,183.4
Itabashi,97.49,4,15,11.1,3.4,96.8,1,0,0,150.01
Adachi,85.16,2,8,2.5,2.1,94.7,0,1,0,155.74
Kita,103.17,3,16,26.3,8.8,94.3,1,0,0,101.68
Chiyoda,97.93,4,16,20.9,1.0,92.0,1,1,1,231.21
Itabashi,87.92,3,19,30.5,3.8,99.5,0,1,0,159.31
Suginami,117.59,4,28,11.9,7.3,64.0,0,1,0,244.01
Nakano,49.36,2,26,45.4,15.0,92.5,1,1,0,68.55
Suginami,34.56,1,15,7.5,6.4,95.8,1,1,0,145.96
Toshima,92.77,3,11,7.2,1.8,99.3,1,0,0,195.78
Nakano,140.41,4,15,11.4,7.0,88.6,1,1,1,212.11
Ota,53.79,2,17,12.6,2.4,100.0,1,1,1,141.12
Meguro,71.91,2,13,13.8,13.7,69.8,0,1,0,172.08
Meguro,61.74,3,5,5.4,10.5,86.4,1,1,0,168.35
Edogawa,82.97,3,15,4.0,16.3,92.1,0,0,0,90.03
Sumida,23.89,1,29,0.9,1.2,100.0,0,1,0,89.26
Shinagawa,20.0,1,7,6.3,13.7,56.2,1,1,0,124.51
Bunkyo,36.98,1,4,8.8,14.3,64.4,1,0,0,128.06
Minato,23.3,1,29,9.2,1.7,95.2,1,1,0,174.26
Nerima,72.89,4,13,15.1,11.2,70.7,0,1,0,81.98
Edogawa,55.02,2,8,0.3,10.7,71.1,1,0,0,127.27
Koto,54.18,3,6,2.6,1.0,100.0,0,0,0,110.99
Shinagawa,34.28,1,3,7.6,4.7,94.4,1,1,1,214.8
Bunkyo,70.78,3,6,25.5,3.8,67.6,1,1,1,158.39
Shinagawa,99.76,4,3,2.9,9.5,81.3,1,1,0,203.4
Katsushika,97.37,3,16,21.7,1.5,80.9,1,0,0,130.15
Chuo,64.39,3,15,49.5,6.4,86.5,1,1,1,151.62
Taito,20.31,1,5,22.8,4.9,100.0,0,1,0,76.67
Shinagawa,57.67,2,14,1.6,9.4,81.3,1,1,0,147.28
Nerima,84.72,4,18,2.1,17.4,54.9,1,0,0,160.84
Bunkyo,60.5,3,5,0.2,4.3,87.5,0,1,0,188.11
Sumida,24.02,2,13,50.0,12.9,84.5,1,1,0,20.57
Nerima,131.82,3,21,10.0,1.3,100.0,1,0,0,173.31
Taito,84.84,2,17,16.1,22.9,53.0,1,0,0,102.24
Koto,74.58,3,11,10.3,3.9,77.1,1,1,1,163.14
Bunkyo,72.66,3,13,0.6,11.0,95.3,1,1,0,193.56
Koto,53.72,2,14,50.0,28.3,32.7,1,1,0,12.62
Meguro,88.21,3,18,0.2,2.4,100.0,0,0,0,252.92
Meguro,68.41,3,12,9.6,1.0,100.0,1,1,0,206.0
Meguro,86.7,3,25,7.1,6.4,85.1,1,0,0,211.99
Itabashi,85.37,4,24,50.0,8.9,89.7,0,1,1,104.64
Adachi,31.19,1,22,21.0,2.5,97.3,1,1,0,81.43
Arakawa,78.2,3,19,2.4,3.4,100.0,1,1,0,155.4
Edogawa,92.6,4,5,2.6,5.0,93.9,0,0,0,191.55
Ota,57.32,2,21,19.8,7.7,79.5,1,1,0,98.37
Katsushika,94.81,4,16,2.4,2.9,100.0,1,1,0,234.42
Katsushika,58.01,2,5,16.3,1.0,94.1,1,1,1,131.58
Nakano,53.87,2,20,12.3,7.4,88.2,1,1,0,133.29
Nakano,109.37,3,24,6.1,12.3,84.9,1,1,0,201.65
Edogawa,43.67,2,17,13.7,10.6,86.5,1,1,0,128.62
Toshima,37.7,1,15,7.9,14.7,82.7,1,0,0,70.96
Arakawa,85.35,3,22,4.8,5.8,79.8,0,1,0,181.3
Bunkyo,64.15,3,21,9.2,5.3,89.2,1,1,0,235.59
Katsushika,56.07,2,20,16.0,25.1,46.3,0,0,0,48.49
Nakano,45.19,2,16,7.0,4.5,86.2,0,1,0,148.13
Arakawa,20.0,1,15,0.3,8.7,91.4,1,1,0,99.19
Nakano,51.88,2,26,50.0,1.3,89.1,1,0,1,103.29
Setagaya,45.75,1,4,8.1,1.0,94.8,1,1,1,155.22
Ota,28.1,1,22,11.9,7.6,90.3,1,0,0,87.91
Chuo,118.98,3,15,10.8,13.1,71.1,1,0,1,195.5
Nerima,46.02,2,4,21.2,5.9,91.5,1,1,0,98.9
Shinagawa,117.48,4,2,1.0,5.0,93.8,1,1,0,242.24
Arakawa,47.45,1,5,50.0,1.8,78.0,1,1,1,73.57
Edogawa,35.75,2,18,2.6,9.5,86.3,1,0,0,99.23
Koto,84.5,3,28,3.4,1.6,99.7,0,1,0,203.45
Katsushika,44.22,3,13,50.0,8.8,93.8,1,0,1,49.62
Bunkyo,62.34,3,1,0.4,13.9,67.1,1,0,0,130.0
Taito,124.24,4,11,34.7,8.4,86.6,1,0,1,167.78
Toshima,101.26,4,24,1.4,10.2,88.3,1,0,0,183.72
Edogawa,24.45,2,11,27.8,2.3,100.0,0,1,0,65.82
Nerima,85.11,3,8,1.1,1.0,100.0,0,0,0,157.33
Adachi,113.74,5,17,21.8,12.4,70.0,1,0,1,167.94
Chuo,127.0,4,6,3.9,3.8,89.9,1,1,0,214.45
Koto,79.96,3,16,18.4,28.8,44.2,1,1,1,107.91
Shinagawa,74.63,3,23,11.4,8.1,69.2,0,0,0,151.01
Shinagawa,69.42,3,11,1.2,2.1,92.9,1,1,0,161.24
Edogawa,31.81,1,30,23.7,1.0,98.7,0,1,1,125.15
Chiyoda,75.45,2,3,26.5,16.9,83.3,1,1,0,139.21
Suginami,20.0,1,19,33.5,4.7,100.0,1,1,0,98.34
Sumida,59.12,2,3,15.8,24.1,46.9,1,1,0,68.63
Arakawa,75.84,3,12,13.9,19.0,60.1,1,1,0,81.72
Nakano,24.86,1,13,11.6,15.4,76.8,0,1,1,91.56
Adachi,20.0,1,30,7.6,1.0,100.0,0,1,0,92.76
Sumida,56.93,2,14,50.0,1.1,98.4,0,0,1,92.42
Adachi,64.56,3,29,5.6,13.9,73.7,1,0,0,103.46
Shinjuku,43.36,2,20,34.6,4.1,88.6,1,1,1,165.83
Itabashi,109.81,4,10,10.5,1.2,100.0,1,1,1,174.26
Koto,86.76,3,11,10.0,6.9,95.4,0,0,0,176.15
Taito,44.01,3,22,28.6,4.1,92.5,1,1,0,100.3
Minato,135.72,4,23,5.8,7.0,72.3,1,1,0,240.54
Bunkyo,114.46,4,5,33.1,3.4,100.0,1,0,1,243.8
Kita,106.66,4,6,9.1,9.3,82.5,0,1,0,179.99
Shinjuku,70.19,2,14,0.5,3.9,89.6,0,1,0,235.19
Meguro,55.76,2,18,26.3,30.0,17.1,0,1,0,68.02
Shinjuku,36.2,2,9,12.1,6.2,93.9,1,0,0,144.93
Itabashi,70.91,3,21,50.0,6.5,73.7,1,1,0,111.08
Ota,42.42,2,29,50.0,17.0,77.0,1,0,1,63.49
Bunkyo,149.33,3,27,36.0,10.2,64.5,1,1,0,190.02
Kita,78.4,3,9,31.4,23.1,52.6,1,1,1,76.35
Edogawa,26.56,1,24,8.7,7.4,76.7,1,0,0,84.42
Itabashi,98.65,4,15,12.8,25.0,48.0,1,1,1,135.71
Koto,87.81,3,23,0.3,5.2,60.2,1,1,0,167.42
Toshima,47.59,3,9,4.9,1.9,90.9,0,1,0,172.44
Chiyoda,75.42,3,8,7.6,10.3,80.9,0,1,0,210.8
Nakano,20.0,2,13,17.9,1.0,90.8,1,0,0,104.15
Chuo,65.16,3,28,29.9,4.1,84.7,0,0,0,150.8
Sumida,59.74,2,9,3.7,1.0,93.9,1,0,0,112.32
Meguro,124.02,3,18,4.2,10.0,92.4,1,1,0,199.91
Edogawa,71.96,3,12,10.3,2.7,98.0,0,1,0,124.36
Kita,51.21,2,6,33.9,7.0,86.1,1,0,1,87.84
Shinagawa,74.49,4,12,12.7,19.0,60.8,1,1,0,162.5
Kita,68.03,3,27,27.9,9.0,100.0,0,0,1,107.43
Ota,45.09,3,15,43.2,2.5,100.0,1,0,1,89.82
Sumida,20.0,1,18,15.1,11.8,76.6,0,1,0,47.61
Chuo,110.16,3,9,30.6,10.5,90.5,1,0,1,203.17
Koto,108.24,4,12,0.8,9.2,89.8,1,1,0,196.89
Kita,60.68,2,10,11.8,1.0,87.2,1,1,0,155.8
Nakano,63.46,3,17,35.5,2.5,68.6,1,1,0,141.07
Edogawa,53.47,2,15,3.7,1.1,100.0,0,0,0,150.75
Bunkyo,99.43,4,20,15.4,6.8,79.0,1,1,0,215.64
Ota,93.06,5,23,22.7,4.9,74.2,0,0,0,128.97
Shibuya,64.72,2,26,50.0,2.2,100.0,1,1,1,207.74
Kita,79.76,3,12,14.5,18.1,59.2,0,1,0,125.7
Shinjuku,117.42,3,17,44.2,3.3,83.3,1,1,0,201.74
Arakawa,103.42,3,20,3.9,1.0,81.1,1,0,1,171.34
Nakano,64.3,4,18,11.9,1.6,93.2,1,1,1,205.17
Setagaya,68.66,4,16,50.0,6.0,100.0,0,1,1,106.69
Setagaya,57.29,2,23,3.6,1.0,81.8,0,1,0,206.73
Ota,40.15,2,2,50.0,4.0,96.1,1,0,1,74.43
Kita,76.96,3,22,13.9,14.4,59.1,1,0,0,106.86
Edogawa,84.06,3,27,4.4,2.3,100.0,0,1,0,163.72
Edogawa,29.68,2,3,0.9,4.7,74.6,0,1,1,146.93
Arakawa,20.0,1,18,34.9,16.8,71.3,0,1,0,27.21
Shibuya,59.06,2,24,13.0,5.8,73.8,1,0,0,177.85
Shinjuku,97.65,5,20,10.3,1.8,83.8,1,1,0,233.83
Shinjuku,90.31,4,15,25.0,14.5,67.4,1,1,1,149.03
Kita,82.68,3,24,5.1,21.4,66.7,1,1,0,87.76
Taito,48.05,2,3,32.1,1.0,87.8,0,0,1,89.33
Shibuya,124.4,4,18,34.0,13.6,64.2,0,0,1,176.23
Shinjuku,113.79,4,27,8.0,11.2,60.4,0,0,0,219.62
Katsushika,28.14,1,4,44.7,8.0,85.7,1,1,0,31.8
Kita,102.46,4,1,2.0,1.1,100.0,1,0,0,205.22
Adachi,36.58,2,17,19.5,6.6,86.7,1,0,1,103.74
Shinjuku,61.18,4,8,24.0,7.7,84.0,1,0,1,201.19
Chiyoda,70.3,4,19,8.4,3.0,83.7,1,1,1,233.44
Toshima,55.63,2,24,25.4,5.6,80.2,0,0,1,98.56
Koto,90.46,3,17,0.3,4.0,88.4,1,1,0,150.91
Bunkyo,53.93,2,5,1.1,1.8,79.2,1,1,0,169.6
Edogawa,80.2,3,22,13.8,30.0,44.2,1,0,0,76.94
Meguro,63.09,3,26,13.1,1.8,87.1,1,0,0,235.34
Chuo,73.58,3,10,17.6,1.2,85.7,1,0,0,189.49
Nerima,120.2,4,30,15.4,9.7,93.9,1,1,0,204.7
Shinjuku,122.91,3,2,30.2,23.5,50.9,1,1,1,168.68
Chiyoda,71.31,3,4,42.1,2.0,93.5,1,1,1,197.21
Meguro,36.47,1,22,5.9,17.7,67.3,1,1,1,161.9
Kita,128.96,4,13,1.4,1.8,100.0,1,1,0,195.33
Bunkyo,49.28,1,2,1.0,4.9,97.0,1,0,0,199.54
Meguro,61.88,3,13,23.2,4.1,100.0,1,0,1,207.0
Kita,47.41,3,6,24.1,3.2,89.3,1,1,1,150.45
Koto,129.78,5,28,8.2,5.5,81.2,1,1,0,161.42
Ota,118.78,4,4,3.5,2.6,100.0,0,1,0,200.75
Adachi,95.68,5,19,1.8,2.7,100.0,1,0,0,121.51
Nerima,85.98,4,13,5.5,19.6,59.5,1,1,1,159.58
Chiyoda,89.14,2,13,10.5,1.7,93.7,1,1,1,254.87
Katsushika,88.21,3,15,16.8,1.6,86.5,0,0,0,154.51
Chuo,113.85,3,22,1.3,1.0,99.6,0,1,0,219.56
Shinjuku,61.36,2,10,14.0,2.3,94.0,0,0,1,155.19
Koto,68.83,3,1,11.7,9.5,83.2,1,0,0,144.5
Chuo,62.76,2,15,1.8,7.4,81.8,0,1,0,161.7
Bunkyo,92.47,4,7,8.2,1.0,100.0,1,0,0,276.31
Toshima,98.75,3,28,17.9,11.2,88.3,0,0,0,148.58
Sumida,30.42,2,13,9.9,1.0,96.0,1,1,0,104.31
Koto,49.81,3,12,3.0,10.9,79.8,1,1,0,156.72
Katsushika,20.0,1,22,19.6,7.5,91.2,1,0,0,65.14
Ota,58.14,3,17,7.0,8.0,85.0,1,1,0,129.77
Sumida,103.79,3,19,14.5,10.8,86.0,0,0,1,165.86
Edogawa,76.54,3,21,15.9,17.6,83.5,0,1,1,145.98
Katsushika,111.08,3,13,3.6,4.4,73.5,1,1,0,189.29
Setagaya,55.62,2,23,16.2,12.7,83.8,0,1,0,107.3
Chiyoda,108.92,4,14,3.7,7.2,86.7,0,1,0,269.69
Taito,92.79,4,26,18.0,3.7,88.0,0,0,1,173.53
Minato,83.37,4,16,5.9,18.3,74.6,1,0,1,205.56
Katsushika,89.34,3,6,1.5,30.0,51.6,1,1,1,110.97
Minato,20.0,1,3,0.3,3.6,99.2,1,1,0,155.01
Taito,90.76,3,24,14.7,11.5,87.7,1,1,0,205.05
Shinjuku,123.06,4,20,12.6,16.2,62.6,1,0,0,175.92
Adachi,136.6,5,4,29.6,4.9,90.2,1,1,0,187.37
Katsushika,86.75,2,5,0.8,8.3,81.9,1,0,0,160.74
Chiyoda,87.98,2,12,0.6,6.9,92.5,0,1,0,220.41
Ota,20.0,1,6,11.5,5.4,68.8,1,0,0,88.4
Ota,63.87,3,8,13.5,9.7,82.7,0,1,0,139.22
Toshima,88.89,3,9,50.0,1.0,90.0,1,1,1,164.81
Nakano,66.4,3,7,8.6,4.0,99.2,1,1,0,166.66
Sumida,50.21,2,6,42.8,1.0,91.0,1,1,1,107.01
Meguro,33.46,1,17,6.5,2.9,96.2,0,1,0,172.65
Katsushika,20.0,1,30,2.2,7.0,84.6,1,0,0,93.34
Kita,20.0,1,10,25.9,1.0,86.1,1,1,1,62.14
Koto,37.63,1,23,27.5,30.0,45.9,1,0,0,31.3
Setagaya,67.76,3,19,16.1,1.0,95.0,1,1,0,179.03
Koto,77.86,3,26,30.6,4.1,79.2,1,1,1,132.09
Adachi,57.97,2,28,10.1,4.2,93.8,1,1,0,146.16
Taito,106.54,4,27,6.2,10.5,74.0,1,0,1,264.7
Katsushika,138.02,4,13,30.7,12.6,88.4,0,1,0,166.38
Kita,40.01,3,23,5.2,1.9,88.4,0,1,0,167.37
Toshima,63.83,3,22,8.4,7.3,97.2,0,0,0,136.97
Edogawa,33.46,1,20,10.7,5.6,95.4,0,0,0,105.81
Chiyoda,63.44,3,11,8.9,2.2,98.2,0,0,0,169.67
Koto,127.37,3,26,17.0,6.7,95.3,1,0,0,221.36
Minato,74.14,3,24,0.5,26.1,52.9,0,1,0,194.86
Taito,96.21,4,20,20.2,2.6,79.9,0,1,0,193.57
Edogawa,101.15,4,19,5.6,3.3,92.3,0,0,0,149.63
Setagaya,55.95,3,12,2.7,2.2,84.1,1,0,0,187.96
Minato,66.84,3,30,0.9,18.8,49.2,0,0,0,212.42
Toshima,64.13,4,12,7.9,4.1,100.0,1,1,1,216.22
Chiyoda,36.81,1,2,3.1,3.3,100.0,0,1,0,171.82
Taito,79.58,2,15,8.5,1.4,98.4,0,1,1,216.71
Shinjuku,44.61,2,21,25.8,6.7,93.9,1,0,0,129.05
Edogawa,94.43,3,21,9.4,1.0,90.8,1,0,0,201.24
Itabashi,88.06,3,28,3.8,16.5,73.7,1,0,0,156.48
Shinagawa,52.76,1,25,17.7,4.9,86.0,0,1,0,101.27
Adachi,100.86,4,22,9.7,3.5,100.0,1,0,0,152.88
Kita,90.91,4,14,7.2,13.2,71.2,1,0,0,152.8
Taito,64.4,3,26,17.3,6.1,87.6,1,0,1,137.32
Arakawa,86.16,4,7,8.1,1.0,95.9,1,1,0,165.49
Shinjuku,51.09,2,26,26.9,13.5,57.4,0,0,0,124.11
Shibuya,140.0,3,15,7.5,1.6,100.0,0,1,0,227.12
Shibuya,61.23,3,3,3.9,5.6,92.4,1,1,0,203.16
Toshima,113.93,4,5,22.8,4.1,86.3,1,1,1,185.85
Edogawa,62.03,3,10,27.9,5.3,69.9,1,0,0,96.21
Minato,86.14,3,4,4.0,1.9,100.0,1,1,0,238.68
Edogawa,40.93,2,27,22.7,30.0,38.2,1,0,0,23.39
Meguro,31.21,1,23,8.1,1.4,100.0,0,1,0,145.88
Shinagawa,63.26,2,3,13.8,1.4,93.4,1,1,0,153.91
Katsushika,58.36,1,3,0.4,7.0,72.1,0,1,0,124.13
Shibuya,54.88,2,22,11.8,2.6,84.7,1,0,0,216.19
Koto,64.49,2,29,5.7,2.4,86.8,0,0,0,147.33
Bunkyo,54.88,1,16,6.1,8.7,86.2,1,1,0,177.3
Nerima,77.57,4,27,36.3,6.3,75.5,1,0,1,121.73
Katsushika,67.33,2,13,6.2,13.0,61.1,1,0,0,89.42
Taito,92.84,5,9,11.8,1.0,86.5,0,1,0,191.34
Shinjuku,20.0,2,30,6.5,11.5,99.7,1,1,0,139.64
Meguro,20.0,1,16,15.5,1.0,90.2,1,0,0,143.06
Suginami,44.68,3,17,33.1,30.0,30.5,1,0,1,46.99
Setagaya,65.86,2,11,28.1,3.1,90.9,1,1,1,172.84
Nerima,123.45,3,25,0.3,5.0,88.4,1,1,0,221.22
Katsushika,78.51,4,11,1.8,30.0,30.1,0,1,0,117.25
Toshima,84.35,2,28,22.5,8.9,81.5,1,1,0,184.55
Suginami,75.54,3,24,6.8,6.3,96.7,1,0,0,185.88
Shinjuku,91.06,4,1,27.3,7.6,69.4,1,0,1,183.88
Adachi,106.38,3,6,17.3,18.6,80.1,1,0,0,113.24
Bunkyo,20.0,1,20,15.5,2.7,100.0,0,0,0,117.21
Nakano,70.75,4,27,26.0,18.3,60.3,1,1,0,102.08
Chiyoda,29.63,1,23,1.3,14.2,71.0,0,0,0,151.69
Minato,53.14,2,17,10.1,15.7,78.7,1,1,0,204.84
Setagaya,106.19,4,13,4.5,13.0,75.1,1,1,0,191.08
Suginami,101.36,3,20,12.0,5.9,91.6,0,0,0,187.74
Toshima,106.07,3,12,9.6,1.0,97.3,1,1,0,196.48
Taito,44.87,2,1,50.0,6.3,76.6,0,1,0,67.86
Setagaya,92.47,4,21,11.3,10.5,73.8,1,1,1,222.7
Sumida,20.0,2,23,23.4,3.1,82.1,1,0,1,81.82
Nakano,68.1,2,30,10.4,1.0,96.6,1,0,0,179.93
Adachi,129.78,3,23,8.0,10.5,71.2,0,0,0,166.35
Arakawa,20.0,1,20,5.3,1.4,95.1,1,1,0,111.52
Sumida,99.88,4,29,4.4,2.8,96.9,1,1,0,187.86
Toshima,61.32,3,27,8.5,7.2,90.6,1,0,0,181.09
