ward,ward_jp,floor_area_sqm,num_rooms,building_age_years,floor_number,total_floors,distance_to_station_min,building_type,direction,has_parking,has_balcony,has_security,is_corner_unit,transaction_year,transaction_month,price_man_yen,price_per_sqm,area_per_room,relative_floor,station_category,age_category,amenity_score
taito,台東区,72.2,3,4.3,7,18,23.4,아파트,서,0,0,1,1,2022,5,7270,100.69252077562327,24.066666666666666,0.3888888888888889,원거리,신축,3
minato,港区,64.8,3,0.7,11,15,9.9,아파트,북동,0,1,0,0,2023,10,15780,243.51851851851853,21.599999999999998,0.7333333333333333,버스권,신축,1
minato,港区,69.9,3,4.3,13,19,7.3,맨션,남,0,1,0,0,2020,12,14540,208.01144492131615,23.3,0.6842105263157895,버스권,신축,1
arakawa,荒川区,38.4,1,23.6,3,11,1.0,아파트,남동,0,1,0,0,2022,1,1900,49.47916666666667,38.4,0.2727272727272727,역세권,중고,1
minato,港区,67.0,2,12.1,12,18,21.1,맨션,남,0,1,1,0,2021,4,12320,183.88059701492537,33.5,0.6666666666666666,원거리,준신축,3
arakawa,荒川区,67.1,3,16.8,1,13,8.7,아파트,남서,0,0,1,0,2024,4,4560,67.95827123695977,22.366666666666664,0.07692307692307693,버스권,중고,2
chuo,中央区,125.3,6,12.0,12,14,9.1,맨션,북서,0,0,1,0,2023,2,23050,183.9584996009577,20.883333333333333,0.8571428571428571,버스권,준신축,2
taito,台東区,32.1,1,25.8,13,13,4.6,아파트,동,1,0,0,0,2025,7,2710,84.42367601246106,32.1,1.0,도보권,중고,2
suginami,杉並区,41.9,1,22.4,6,8,15.5,타워맨션,남,0,1,1,0,2024,12,4670,111.45584725536993,41.9,0.75,원거리,중고,3
ota,大田区,47.7,1,22.8,9,14,6.9,아파트,남,0,1,1,0,2022,11,3130,65.61844863731656,47.7,0.6428571428571429,도보권,중고,3
chiyoda,千代田区,86.0,5,17.5,12,12,1.9,아파트,남서,0,1,0,1,2021,10,17770,206.62790697674419,17.2,1.0,역세권,중고,2
shibuya,渋谷区,61.6,3,11.9,5,18,17.3,빌라,동,1,1,0,0,2021,8,7600,123.37662337662337,20.533333333333335,0.2777777777777778,원거리,준신축,3
arakawa,荒川区,77.2,3,19.8,3,11,1.0,아파트,남,0,1,1,0,2025,2,5010,64.89637305699482,25.733333333333334,0.2727272727272727,역세권,중고,3
chuo,中央区,48.5,2,10.9,10,19,1.8,아파트,북동,0,0,1,0,2021,1,10420,214.84536082474227,24.25,0.5263157894736842,역세권,준신축,2
suginami,杉並区,33.9,1,0.5,6,18,3.2,타워맨션,서,0,0,0,0,2023,8,4550,134.21828908554573,33.9,0.3333333333333333,도보권,신축,0
sumida,墨田区,73.5,3,6.4,3,13,1.0,빌라,북서,1,1,1,1,2024,1,6480,88.16326530612245,24.5,0.23076923076923078,역세권,준신축,6
chuo,中央区,91.7,4,17.4,8,10,6.7,맨션,남,1,0,0,0,2022,3,18330,199.89094874591058,22.925,0.8,도보권,중고,2
katsushika,葛飾区,43.3,2,6.6,3,5,18.4,타워맨션,동,1,1,1,0,2023,7,2380,54.96535796766744,21.65,0.6,원거리,준신축,5
minato,港区,63.2,3,11.0,9,10,5.3,타워맨션,북동,1,0,1,0,2021,3,17970,284.3354430379747,21.066666666666666,0.9,도보권,준신축,4
shinagawa,品川区,32.1,1,2.2,9,16,6.1,타워맨션,북동,0,1,0,0,2023,2,7010,218.38006230529595,32.1,0.5625,도보권,신축,1
suginami,杉並区,107.7,5,27.8,11,17,9.6,맨션,서,0,0,1,0,2022,12,8270,76.78737233054781,21.54,0.6470588235294118,버스권,중고,2
nakano,中野区,20.0,1,30.9,5,10,1.0,맨션,남동,1,1,1,0,2024,10,1780,89.0,20.0,0.5,역세권,노후,5
toshima,豊島区,103.2,4,10.6,7,9,15.3,타워맨션,서,0,0,0,0,2022,10,10680,103.48837209302326,25.8,0.7777777777777778,원거리,준신축,0
shinjuku,新宿区,26.8,1,35.3,2,14,1.0,맨션,남,0,1,0,0,2023,6,3240,120.8955223880597,26.8,0.14285714285714285,역세권,노후,1
suginami,杉並区,61.2,3,0.4,11,15,2.2,아파트,동,0,1,1,0,2023,12,8570,140.03267973856208,20.400000000000002,0.7333333333333333,역세권,신축,3
suginami,杉並区,63.9,2,2.9,14,15,5.9,아파트,남,0,0,1,0,2021,10,8180,128.01251956181534,31.95,0.9333333333333333,도보권,신축,2
sumida,墨田区,84.1,4,3.0,1,17,3.5,아파트,남동,0,1,1,0,2021,10,8310,98.81093935790726,21.025,0.058823529411764705,도보권,신축,3
setagaya,世田谷区,49.7,2,14.7,3,16,2.0,타워맨션,남서,1,1,0,0,2023,11,8640,173.8430583501006,24.85,0.1875,역세권,준신축,3
shinjuku,新宿区,97.5,4,26.8,5,5,5.5,아파트,남서,0,1,0,0,2021,5,10490,107.58974358974359,24.375,1.0,도보권,중고,1
taito,台東区,79.9,4,60.0,4,7,1.0,맨션,서,0,0,1,0,2021,9,5290,66.20775969962453,19.975,0.5714285714285714,역세권,노후,2
nakano,中野区,78.4,4,13.4,5,15,1.6,타워맨션,남서,0,1,0,0,2023,7,9800,124.99999999999999,19.6,0.3333333333333333,역세권,준신축,1
minato,港区,20.0,1,1.6,1,13,4.0,아파트,동,1,1,1,0,2021,11,5760,288.0,20.0,0.07692307692307693,도보권,신축,5
toshima,豊島区,49.0,2,27.5,7,7,1.8,맨션,남,1,1,1,1,2023,8,5710,116.53061224489795,24.5,1.0,역세권,중고,6
suginami,杉並区,40.2,1,25.7,8,18,1.5,아파트,서,0,1,1,0,2024,12,3020,75.12437810945273,40.2,0.4444444444444444,역세권,중고,3
suginami,杉並区,119.8,6,41.6,6,18,4.9,빌라,북동,1,0,0,0,2025,5,6150,51.335559265442406,19.966666666666665,0.3333333333333333,도보권,노후,2
chiyoda,千代田区,52.3,1,22.7,13,17,11.2,아파트,남,0,1,1,0,2021,6,9080,173.61376673040155,52.3,0.7647058823529411,버스권,중고,3
bunkyo,文京区,85.8,4,8.1,4,5,7.5,아파트,남,0,1,0,0,2023,2,11210,130.65268065268066,21.45,0.8,버스권,준신축,1
itabashi,板橋区,72.5,4,9.8,12,13,8.1,맨션,남,1,1,0,0,2024,6,6480,89.37931034482759,18.125,0.9230769230769231,버스권,준신축,3
ota,大田区,83.1,4,5.8,5,10,10.6,맨션,남서,1,1,1,0,2021,6,7390,88.92900120336944,20.775,0.5,버스권,준신축,5
arakawa,荒川区,61.6,2,22.9,11,14,2.5,맨션,남,0,0,0,0,2024,4,4960,80.51948051948052,30.8,0.7857142857142857,역세권,중고,0
setagaya,世田谷区,51.3,2,1.2,12,14,6.8,아파트,서,0,1,1,0,2024,8,7850,153.0214424951267,25.65,0.8571428571428571,도보권,신축,3
taito,台東区,82.7,4,5.7,10,16,3.5,타워맨션,남서,1,1,1,0,2024,3,16200,195.8887545344619,20.675,0.625,도보권,준신축,5
edogawa,江戸川区,66.7,3,2.4,14,19,4.0,맨션,동,1,1,0,0,2024,9,4640,69.56521739130434,22.233333333333334,0.7368421052631579,도보권,신축,3
setagaya,世田谷区,91.4,5,60.0,3,16,1.9,타워맨션,남서,0,1,1,0,2021,5,8950,97.92122538293216,18.28,0.1875,역세권,노후,3
suginami,杉並区,103.7,5,15.6,12,14,6.8,아파트,동,1,1,1,0,2021,4,11440,110.3182256509161,20.740000000000002,0.8571428571428571,도보권,중고,5
itabashi,板橋区,20.0,1,38.5,3,17,4.9,타워맨션,북서,1,1,1,0,2021,1,980,49.0,20.0,0.17647058823529413,도보권,노후,5
taito,台東区,74.3,3,5.0,13,16,1.9,아파트,동,0,0,1,0,2021,11,6930,93.27052489905788,24.766666666666666,0.8125,역세권,신축,2
koto,江東区,45.1,2,5.6,13,14,8.3,아파트,동,1,1,1,1,2024,7,5910,131.0421286031042,22.55,0.9285714285714286,버스권,준신축,6
minato,港区,75.2,4,0.4,13,17,1.5,아파트,남,1,0,1,0,2022,6,31320,416.48936170212767,18.8,0.7647058823529411,역세권,신축,4
minato,港区,30.6,1,0.3,12,18,10.0,아파트,남서,0,1,1,0,2022,2,7380,241.17647058823528,30.6,0.6666666666666666,버스권,신축,3
chiyoda,千代田区,43.0,2,2.7,1,16,2.2,아파트,남,1,0,1,0,2022,6,10410,242.09302325581396,21.5,0.0625,역세권,신축,4
meguro,目黒区,75.2,3,11.2,13,19,1.6,맨션,남,0,1,1,0,2024,2,16220,215.6914893617021,25.066666666666666,0.6842105263157895,역세권,준신축,3
meguro,目黒区,106.5,5,7.9,2,9,10.4,아파트,북서,1,1,0,0,2023,7,14810,139.06103286384976,21.3,0.2222222222222222,버스권,준신축,3
toshima,豊島区,56.6,2,31.8,5,7,27.6,맨션,남서,0,1,1,0,2024,3,4000,70.6713780918728,28.3,0.7142857142857143,원거리,노후,3
suginami,杉並区,48.7,1,22.5,9,13,1.0,아파트,남,0,0,1,0,2024,5,4800,98.56262833675564,48.7,0.6923076923076923,역세권,중고,2
chuo,中央区,61.3,2,1.1,3,14,1.2,맨션,남,0,1,1,1,2021,3,17930,292.4959216965742,30.65,0.21428571428571427,역세권,신축,4
adachi,足立区,62.8,3,2.7,5,16,6.7,아파트,북동,0,0,0,0,2021,4,3170,50.47770700636943,20.933333333333334,0.3125,도보권,신축,0
taito,台東区,65.7,2,5.2,5,14,1.2,아파트,남동,0,1,1,0,2024,7,8740,133.0289193302892,32.85,0.35714285714285715,역세권,준신축,3
toshima,豊島区,34.8,1,6.8,6,10,7.4,아파트,남,0,1,1,0,2025,6,4050,116.3793103448276,34.8,0.6,버스권,준신축,3
koto,江東区,67.5,3,60.0,6,19,4.9,아파트,북서,0,1,0,0,2022,1,3170,46.96296296296296,22.5,0.3157894736842105,도보권,노후,1
arakawa,荒川区,46.5,3,33.3,8,12,6.6,맨션,남동,1,0,0,0,2021,4,2290,49.24731182795699,15.5,0.6666666666666666,도보권,노후,2
kita,北区,74.6,3,39.0,11,15,2.8,아파트,북서,0,1,1,0,2021,3,4090,54.825737265415555,24.866666666666664,0.7333333333333333,역세권,노후,3
shinjuku,新宿区,87.4,4,12.7,2,16,3.1,아파트,동,0,0,1,0,2024,10,11600,132.72311212814645,21.85,0.125,도보권,준신축,2
shibuya,渋谷区,57.8,3,34.7,11,12,9.6,타워맨션,동,1,1,0,0,2023,2,9190,158.99653979238755,19.266666666666666,0.9166666666666666,버스권,노후,3
shibuya,渋谷区,38.5,1,4.8,10,12,11.0,아파트,북서,1,0,1,0,2023,8,6630,172.2077922077922,38.5,0.8333333333333334,버스권,신축,4
nakano,中野区,46.1,3,13.5,14,15,18.0,아파트,남,0,0,0,0,2024,10,3820,82.86334056399131,15.366666666666667,0.9333333333333333,원거리,준신축,0
chiyoda,千代田区,89.5,5,14.8,9,9,6.7,맨션,동,1,1,1,0,2025,7,21020,234.86033519553072,17.9,1.0,도보권,준신축,5
shinjuku,新宿区,52.5,2,9.9,5,5,1.0,타워맨션,남서,0,1,1,0,2024,2,10850,206.66666666666666,26.25,1.0,역세권,준신축,3
setagaya,世田谷区,58.8,2,17.1,6,11,1.0,아파트,동,0,1,0,0,2021,12,5570,94.72789115646259,29.4,0.5454545454545454,역세권,중고,1
meguro,目黒区,59.8,2,21.7,13,18,3.4,맨션,북동,1,0,0,0,2022,8,8410,140.63545150501673,29.9,0.7222222222222222,도보권,중고,2
chiyoda,千代田区,32.8,1,44.6,8,9,1.0,아파트,북동,0,1,0,0,2022,8,4230,128.96341463414635,32.8,0.8888888888888888,역세권,노후,1
chiyoda,千代田区,79.3,4,17.2,4,5,11.4,맨션,북서,0,1,1,0,2024,3,14870,187.515762925599,19.825,0.8,버스권,중고,3
bunkyo,文京区,62.1,3,60.0,4,13,11.6,맨션,동,0,1,0,0,2024,12,4680,75.3623188405797,20.7,0.3076923076923077,버스권,노후,1
koto,江東区,20.0,1,18.1,2,14,8.6,아파트,북동,0,0,1,0,2021,7,1590,79.5,20.0,0.14285714285714285,버스권,중고,2
shinagawa,品川区,72.8,3,1.1,7,13,1.9,맨션,남동,1,0,1,1,2021,7,15540,213.46153846153848,24.266666666666666,0.5384615384615384,역세권,신축,5
arakawa,荒川区,95.9,4,36.3,9,18,1.0,아파트,남,0,1,1,0,2021,9,4270,44.52554744525547,23.975,0.5,역세권,노후,3
shinagawa,品川区,79.6,4,15.1,14,19,3.3,맨션,북서,0,1,1,0,2023,9,12530,157.41206030150755,19.9,0.7368421052631579,도보권,중고,3
chiyoda,千代田区,63.3,3,2.3,5,7,1.0,아파트,남서,0,1,1,0,2022,11,15240,240.75829383886256,21.099999999999998,0.7142857142857143,역세권,신축,3
sumida,墨田区,76.9,4,9.9,10,13,2.6,아파트,남서,0,0,0,0,2024,11,7650,99.47984395318595,19.225,0.7692307692307693,역세권,준신축,0
sumida,墨田区,89.1,4,60.0,6,19,18.8,맨션,남서,1,1,0,0,2023,11,4320,48.484848484848484,22.275,0.3157894736842105,원거리,노후,3
meguro,目黒区,71.9,3,4.7,13,13,7.0,맨션,남,0,1,0,1,2024,3,15300,212.79554937413073,23.96666666666667,1.0,도보권,신축,2
katsushika,葛飾区,65.8,2,20.3,8,19,1.3,아파트,남서,0,1,1,0,2023,4,3220,48.93617021276596,32.9,0.42105263157894735,역세권,중고,3
chiyoda,千代田区,74.8,3,7.9,10,14,1.0,아파트,북동,0,1,1,0,2022,2,17500,233.9572192513369,24.933333333333334,0.7142857142857143,역세권,준신축,3
meguro,目黒区,93.7,4,6.2,4,10,10.3,아파트,남동,0,1,0,0,2021,1,12750,136.07257203842047,23.425,0.4,버스권,준신축,1
shinagawa,品川区,34.8,1,5.5,11,15,9.3,맨션,동,0,1,0,0,2024,11,5300,152.29885057471265,34.8,0.7333333333333333,버스권,준신축,1
nerima,練馬区,106.9,5,14.1,3,10,5.5,아파트,동,1,1,1,0,2021,11,8250,77.17492984097287,21.380000000000003,0.3,도보권,준신축,5
bunkyo,文京区,73.2,3,9.9,4,7,7.1,맨션,서,0,1,1,0,2024,1,8770,119.80874316939891,24.400000000000002,0.5714285714285714,버스권,준신축,3
koto,江東区,20.0,1,1.6,7,18,8.1,맨션,동,0,1,0,0,2025,4,2880,144.0,20.0,0.3888888888888889,버스권,신축,1
nerima,練馬区,32.8,1,50.1,4,19,3.6,아파트,남,1,1,0,1,2022,10,1520,46.34146341463415,32.8,0.21052631578947367,도보권,노후,4
setagaya,世田谷区,76.3,3,2.5,3,4,1.1,빌라,남,1,0,0,0,2024,12,11430,149.80340760157276,25.433333333333334,0.75,역세권,신축,2
meguro,目黒区,58.0,2,1.3,2,3,1.0,타워맨션,북,0,0,0,0,2025,6,12740,219.6551724137931,29.0,0.6666666666666666,역세권,신축,0
arakawa,荒川区,68.2,3,54.5,7,19,1.0,맨션,남동,0,1,0,0,2022,5,2990,43.841642228739,22.733333333333334,0.3684210526315789,역세권,노후,1
toshima,豊島区,62.8,2,9.1,10,18,1.6,맨션,동,1,1,1,0,2022,4,9890,157.48407643312103,31.4,0.5555555555555556,역세권,준신축,5
minato,港区,64.1,2,3.1,1,11,2.2,맨션,북서,1,1,1,0,2022,7,22280,347.5819032761311,32.05,0.09090909090909091,역세권,신축,5
koto,江東区,95.8,5,4.6,4,17,2.5,아파트,북동,0,1,1,0,2021,5,9090,94.88517745302714,19.16,0.23529411764705882,역세권,신축,3
meguro,目黒区,82.5,4,9.6,12,15,1.0,아파트,서,1,0,0,0,2024,5,14390,174.42424242424244,20.625,0.8,역세권,준신축,2
toshima,豊島区,37.8,2,17.0,11,11,1.2,맨션,남동,1,1,0,0,2021,12,5200,137.56613756613757,18.9,1.0,역세권,중고,3
taito,台東区,76.7,4,1.6,8,16,4.9,아파트,남서,0,1,0,0,2021,5,7890,102.86831812255541,19.175,0.5,도보권,신축,1
suginami,杉並区,29.6,1,11.7,12,12,15.9,맨션,북동,0,0,0,0,2024,4,2830,95.6081081081081,29.6,1.0,원거리,준신축,0
chiyoda,千代田区,88.5,3,3.4,13,13,3.3,맨션,남서,0,0,1,0,2024,12,25750,290.96045197740114,29.5,1.0,도보권,신축,2
nerima,練馬区,76.8,3,6.9,3,3,1.0,아파트,남동,0,1,1,0,2024,5,7120,92.70833333333334,25.599999999999998,1.0,역세권,준신축,3
chuo,中央区,76.8,2,7.1,11,12,7.8,아파트,북서,0,1,1,0,2024,8,15430,200.91145833333334,38.4,0.9166666666666666,버스권,준신축,3
ota,大田区,56.6,3,7.8,1,5,1.5,맨션,남동,0,0,1,1,2025,6,5840,103.18021201413427,18.866666666666667,0.2,역세권,준신축,3
bunkyo,文京区,105.5,5,9.9,8,12,3.7,맨션,동,0,1,0,0,2023,7,16130,152.89099526066352,21.1,0.6666666666666666,도보권,준신축,1
arakawa,荒川区,65.1,3,4.5,10,19,30.0,맨션,남서,1,1,1,0,2022,9,5470,84.02457757296467,21.7,0.5263157894736842,원거리,신축,5
setagaya,世田谷区,79.0,3,4.2,1,15,1.0,맨션,남서,1,1,0,0,2022,11,12480,157.9746835443038,26.333333333333332,0.06666666666666667,역세권,신축,3
minato,港区,51.4,2,25.9,2,9,1.0,맨션,남서,1,1,0,0,2021,4,11250,218.8715953307393,25.7,0.2222222222222222,역세권,중고,3
arakawa,荒川区,34.9,1,59.4,1,15,4.4,아파트,북서,0,1,0,0,2024,12,1410,40.401146131805156,34.9,0.06666666666666667,도보권,노후,1
koto,江東区,96.1,5,35.6,5,19,2.8,타워맨션,동,1,1,1,0,2021,7,8030,83.55879292403746,19.22,0.2631578947368421,역세권,노후,5
meguro,目黒区,93.7,4,22.2,12,13,30.0,아파트,남동,0,1,0,1,2025,10,10310,110.03201707577374,23.425,0.9230769230769231,원거리,중고,2
chuo,中央区,45.3,2,1.3,2,2,1.0,아파트,남동,0,1,0,0,2025,11,11440,252.53863134657837,22.65,1.0,역세권,신축,1
shibuya,渋谷区,131.1,6,40.6,7,12,4.7,아파트,북동,1,1,0,0,2024,8,13990,106.7124332570557,21.849999999999998,0.5833333333333334,도보권,노후,3
shinagawa,品川区,47.8,2,1.2,7,11,4.7,맨션,서,1,1,1,0,2024,12,11270,235.77405857740587,23.9,0.6363636363636364,도보권,신축,5
suginami,杉並区,47.1,1,17.6,7,15,3.1,아파트,남동,1,1,1,1,2024,8,5670,120.38216560509554,47.1,0.4666666666666667,도보권,중고,6
bunkyo,文京区,51.3,2,32.8,11,13,2.6,맨션,남서,1,1,1,0,2021,7,5870,114.42495126705654,25.65,0.8461538461538461,역세권,노후,5
nerima,練馬区,29.7,1,22.8,8,18,7.0,맨션,남동,1,0,0,1,2024,6,2140,72.05387205387206,29.7,0.4444444444444444,도보권,중고,3
toshima,豊島区,50.7,2,2.1,1,2,1.1,타워맨션,동,0,1,0,0,2024,11,8320,164.1025641025641,25.35,0.5,역세권,신축,1
adachi,足立区,47.5,2,25.6,5,13,11.9,아파트,서,0,1,0,0,2024,1,2370,49.89473684210526,23.75,0.38461538461538464,버스권,중고,1
taito,台東区,46.8,2,5.0,6,9,1.9,타워맨션,서,0,1,1,0,2021,1,7190,153.63247863247864,23.4,0.6666666666666666,역세권,신축,3
minato,港区,65.5,2,17.6,4,4,1.5,맨션,동,0,1,1,0,2024,10,19340,295.2671755725191,32.75,1.0,역세권,중고,3
suginami,杉並区,43.1,2,6.3,11,15,11.8,아파트,동,0,0,1,0,2021,6,4280,99.30394431554524,21.55,0.7333333333333333,버스권,준신축,2
nakano,中野区,95.9,3,26.9,3,4,4.2,빌라,남서,1,1,1,0,2025,8,7660,79.87486965589154,31.96666666666667,0.75,도보권,중고,5
koto,江東区,82.7,4,9.5,14,19,1.0,아파트,남,0,1,1,0,2025,4,10030,121.28174123337364,20.675,0.7368421052631579,역세권,준신축,3
chiyoda,千代田区,20.0,1,39.2,9,11,12.3,맨션,남,1,1,1,0,2022,11,2570,128.5,20.0,0.8181818181818182,버스권,노후,5
ota,大田区,112.7,5,3.8,4,15,2.8,아파트,남동,0,0,0,0,2024,4,10270,91.12688553682342,22.54,0.26666666666666666,역세권,신축,0
minato,港区,67.0,3,25.2,10,18,1.0,타워맨션,남서,0,1,0,0,2021,4,18380,274.32835820895525,22.333333333333332,0.5555555555555556,역세권,중고,1
chuo,中央区,95.6,4,24.3,12,18,22.8,타워맨션,남,0,0,0,0,2024,2,16270,170.18828451882845,23.9,0.6666666666666666,원거리,중고,0
shinagawa,品川区,76.5,4,32.0,11,11,1.0,아파트,남,0,1,1,1,2024,12,9610,125.62091503267973,19.125,1.0,역세권,노후,4
chiyoda,千代田区,45.3,2,6.2,4,13,4.1,아파트,남동,1,1,1,1,2022,7,12250,270.41942604856513,22.65,0.3076923076923077,도보권,준신축,6
shinagawa,品川区,99.0,5,7.1,7,19,5.1,아파트,남,0,0,0,0,2021,7,15850,160.1010101010101,19.8,0.3684210526315789,도보권,준신축,0
bunkyo,文京区,96.6,5,24.6,13,13,4.4,아파트,북동,1,0,0,0,2023,4,9600,99.37888198757764,19.32,1.0,도보권,중고,2
sumida,墨田区,69.1,3,14.3,6,18,9.0,타워맨션,남서,1,0,1,0,2021,10,7180,103.90738060781477,23.03333333333333,0.3333333333333333,버스권,준신축,4
chiyoda,千代田区,84.0,4,6.3,9,16,3.4,아파트,동,1,1,1,0,2021,10,18470,219.88095238095238,21.0,0.5625,도보권,준신축,5
koto,江東区,20.0,1,2.4,12,15,1.5,맨션,남,0,1,0,0,2023,5,2720,136.0,20.0,0.8,역세권,신축,1
toshima,豊島区,71.6,2,21.6,14,16,8.4,아파트,남,1,1,0,0,2025,1,8190,114.38547486033521,35.8,0.875,버스권,중고,3
meguro,目黒区,47.3,2,20.3,8,10,6.8,아파트,서,0,0,0,0,2024,6,6880,145.45454545454547,23.65,0.8,도보권,중고,0
chuo,中央区,80.8,4,40.8,6,16,2.6,아파트,북서,0,1,0,0,2023,3,11250,139.23267326732673,20.2,0.375,역세권,노후,1
minato,港区,57.8,2,5.1,9,9,1.6,맨션,북동,0,0,1,1,2021,9,19610,339.2733564013841,28.9,1.0,역세권,준신축,3
chiyoda,千代田区,88.8,3,5.9,3,18,7.1,아파트,서,1,1,0,0,2023,7,17560,197.74774774774775,29.599999999999998,0.16666666666666666,버스권,준신축,3
chiyoda,千代田区,73.8,3,4.9,14,15,18.7,아파트,동,1,1,1,1,2025,10,17330,234.82384823848238,24.599999999999998,0.9333333333333333,원거리,신축,6
taito,台東区,100.5,4,1.1,12,15,15.6,아파트,남서,0,0,1,0,2024,2,10370,103.18407960199005,25.125,0.8,원거리,신축,2
shibuya,渋谷区,68.5,3,14.6,13,14,3.2,타워맨션,북서,0,1,1,0,2021,7,14010,204.52554744525548,22.833333333333332,0.9285714285714286,도보권,준신축,3
shinagawa,品川区,62.1,3,2.3,3,18,18.2,아파트,남,1,0,1,0,2023,7,8200,132.0450885668277,20.7,0.16666666666666666,원거리,신축,4
minato,港区,53.9,3,3.2,5,15,21.5,맨션,남,0,0,0,0,2023,4,11600,215.21335807050093,17.966666666666665,0.3333333333333333,원거리,신축,0
kita,北区,60.9,3,60.0,4,9,6.5,아파트,북,0,1,0,0,2021,1,2240,36.7816091954023,20.3,0.4444444444444444,도보권,노후,1
chuo,中央区,50.2,2,17.7,3,11,1.0,아파트,남,0,1,1,0,2022,12,8760,174.5019920318725,25.1,0.2727272727272727,역세권,중고,3
sumida,墨田区,31.8,1,0.4,9,11,4.2,아파트,동,0,1,1,0,2022,7,3130,98.42767295597484,31.8,0.8181818181818182,도보권,신축,3
arakawa,荒川区,45.3,3,3.4,7,11,10.7,맨션,동,1,0,0,0,2024,9,3680,81.23620309050773,15.1,0.6363636363636364,버스권,신축,2
nerima,練馬区,45.7,1,1.1,13,18,3.0,아파트,북동,0,0,1,0,2025,8,4100,89.71553610503281,45.7,0.7222222222222222,역세권,신축,2
nakano,中野区,42.4,2,27.1,4,15,1.9,빌라,남동,0,0,1,0,2025,1,2960,69.81132075471699,21.2,0.26666666666666666,역세권,중고,2
meguro,目黒区,42.4,1,14.2,5,16,11.5,아파트,남동,1,1,0,1,2021,9,5870,138.4433962264151,42.4,0.3125,버스권,준신축,4
shinagawa,品川区,60.9,2,35.6,5,15,2.5,빌라,남동,0,0,0,0,2023,10,5980,98.19376026272579,30.45,0.3333333333333333,역세권,노후,0
kita,北区,29.5,1,14.2,11,18,4.9,맨션,서,0,1,1,0,2024,9,2400,81.35593220338983,29.5,0.6111111111111112,도보권,준신축,3
katsushika,葛飾区,54.4,2,6.6,2,9,4.6,타워맨션,남,1,1,1,0,2023,4,5130,94.30147058823529,27.2,0.2222222222222222,도보권,준신축,5
koto,江東区,55.8,2,18.1,1,14,2.1,아파트,동,0,1,0,0,2021,3,4750,85.12544802867384,27.9,0.07142857142857142,역세권,중고,1
shinjuku,新宿区,104.0,5,8.4,9,18,2.2,맨션,남동,1,0,0,1,2021,4,20480,196.92307692307693,20.8,0.5,역세권,준신축,3
katsushika,葛飾区,57.6,2,2.1,10,14,1.8,아파트,북,0,0,1,0,2025,2,3710,64.40972222222221,28.8,0.7142857142857143,역세권,신축,2
itabashi,板橋区,34.9,2,0.4,1,3,2.1,타워맨션,남,0,1,1,0,2021,5,4350,124.64183381088826,17.45,0.3333333333333333,역세권,신축,3
bunkyo,文京区,41.1,2,1.7,8,13,7.7,아파트,남서,0,0,0,0,2021,4,5210,126.7639902676399,20.55,0.6153846153846154,버스권,신축,0
